,name,frequence
1240,Marion,5
1241,Marise,1
1242,Marius,4
1243,Marjolaine,1
1244,Marjolène,1
1245,Marjorie,4
1246,Marleine,1
1247,Marlène,4
1248,Marline,1
1249,Marlise,1
1250,Marlyne,1
1251,Marlyse,1
1252,Marthe,5
1253,Martial,4
1254,Martin,4
1255,Martine,8
1256,Mary,2
1257,Maryan,1
1258,Maryelle,1
1259,Marylaure,1
1260,Marylène,4
1261,Marylin,1
1262,Maryline,5
1263,Marylise,1
1264,Maryse,6
1265,Maryvonne,5
1266,Materne,1
1267,Mathieu,6
1268,Mathilde,5
1269,Mathurin,1
1270,Mathurine,1
1271,Matisse,1
1272,Matthieu,5
1273,Matthis,1
1274,Maud,4
1275,Maude,1
1276,Maurane,1
1277,Maurice,7
1278,Mauricette,5
1279,Maurin,1
1280,Maurine,1
1281,Max,4
1282,Maxance,1
1283,Maxence,3
1284,Maxime,6
1285,Maximilien,2
1286,Maximilienne,1
1287,Maximin,1
1288,Maxine,1
1289,Mayeul,1
1290,Médard,1
1291,Médéric,1
1292,Médérick,1
1293,Mégane,2
1294,Mélaine,1
1295,Mélanie,6
1296,Mélie,1
1297,Mélinda,2
1298,Méline,1
1299,Mélisa,1
1300,Mélissa,4
1301,Mélodie,2
1302,Mélusine,1
1303,Mélyna,1
1304,Mélyssa,1
1305,Mendy,1
1306,Mériadec,1
1307,Messaline,1
1308,Michael,5
1309,Michaël,4
1310,Michaëlle,1
1311,Michel,9
1312,Michèle,7
1313,Micheline,6
1314,Michelle,6
1315,Mickael,5
1316,Mickaël,5
1317,Mickaëlle,1
1318,Miguel,3
1319,Mikael,3
1320,Mikaëlle,1
1321,Milène,1
1322,Mirabelle,1
1323,Mireille,6
1324,Miren,1
1325,Modeste,1
1326,Modestine,1
1327,Moïse,2
1328,Monette,1
1329,Monique,8
1330,Moran,1
1331,Morane,1
1332,Morgan,3
1333,Morgane,4
1334,Morgann,1
1335,Morganne,1
1336,Morgiane,1
1337,Morvan,1
1338,Muguette,2
1339,Muriel,6
1340,Murièle,1
1341,Murielle,5
1342,Mylène,4
1343,Myriam,6
1344,Myriame,1
1345,Myriane,1
1346,Myrianne,1
1347,Myrielle,1
1348,Myrtille,1
1349,Nadège,5
1350,Nadeige,1
1351,Nadette,1
1352,Nadia,6
1353,Nadiège,1
1354,Nadine,7
1355,Naëlle,1
1356,Nancy,2
1357,Nanette,1
1358,Naomie,1
1359,Napoléon,1
1360,Narcisse,1
1361,Natacha,4
1362,Nathaël,1
1363,Nathalie,8
1364,Nathanael,1
1365,Nathanaëlle,1
1366,Nazaire,1
1367,Néhémie,1
1368,Neige,1
1369,Nelly,5
1370,Nicette,1
1371,Nicodème,1
1372,Nicolas,8
1373,Nicole,8
1374,Nicomède,1
1375,Nikita,1
1376,Nina,2
1377,Ninette,1
1378,Ninon,1
1379,Noé,1
1380,Noël,5
1381,Noëla,1
1382,Noële,1
1383,Noelie,2
